prefLabel_en;altLabel_en
SARS-CoV; severe acute respiratory syndrome virus
SARS-CoV; severe acute respiratory syndrome associated coronavirus
SARS-CoV; severe acute respiratory syndrome related coronavirus
SARS-CoV; severe acute respiratory syndrome virus
SARS-CoV; severe acute respiratory syndrome-related coronavirus
SARS-CoV-2;2019 Novel (New)coronavirus
SARS-CoV-2; 2019 novel coronavirus
SARS-CoV-2; 2019-nCoV
SARS-CoV-2; 2019-new coronavirus
SARS-CoV-2; 2019-novel coronavirus
SARS-CoV-2; CoVid-19 virus
SARS-CoV-2; CoVid19 virus
SARS-CoV-2; HCoV-19
SARS-CoV-2; SARS-CoV2
SARS-CoV-2; SARS2
SARS-CoV-2; SARSCoV-2
SARS-CoV-2; Wuhan coronavirus
SARS-CoV-2; Wuhan pneumonia coronavirus
SARS-CoV-2; Wuhan seafood market pneumonia virus
SARS-CoV-2; Wuhan virus
SARS-CoV-2; Wuhan-Hu-1-CoV
SARS-CoV-2; corona virus 2
SARS-CoV-2; coronavirus disease 2019 virus
SARS-CoV-2; nCoV
SARS-CoV-2; new coronavirus
SARS-CoV-2; novel chinese coronavirus
SARS-CoV-2; novel coronavirus
SARS-CoV-2; severe acute respiratory syndrome coronavirus 2
SARS-CoV-2; severe acute respiratory syndrome coronavirus clade 2
SARS-CoV-2; virus 2019-nCoV
Covaxin;BBV152
upper respiratory tract;upper airway
upper respiratory tract; upper airways
respiratory system;respiratory apparatus
respiratory system; ventilatory system
receptor-binding motif;RBM
receptor-binding motif; receptor binding motif
SARS-CoV-2 clade;monophyletic group
SARS-CoV-2 clade; natural group
SARS-CoV-like;SARS-CoV related
SARS-CoV-like; SARS-CoVlike
SARS-CoV-like; SARS-like coronavirus
SARS-CoV-like; SARS?like CoV
SARS-CoV-like; sl-CoV
bat SARS-like coronavirus;bat SARS?like CoV
bat SARS-like coronavirus; bat-SARS-related-CoV
bat-SARS-like (SL)-ZC45;bat SARS-like coronavirus ZC45
bat-SARS-like (SL)-ZC45; bat-SARS-related-CoVZC45
bat-SARS-like (SL)-ZC45; bat-SL ZC45
bat-SARS-like (SL)-ZC45; bat-SL-CoVZC45
bat-SARS-like (SL)-ZXC21;bat SARS-like coronavirus ZXC21
bat-SARS-like (SL)-ZXC21; bat-SARS-related-CoVZXC21
bat-SARS-like (SL)-ZXC21; bat-SL ZXC21
bat-SARS-like (SL)-ZXC21; bat-SL-CoVZXC21
betacoronavirus lineage C;beta-CoV lineage c
betacoronavirus lineage C; betacoronavirus phylogenetic lineage c
betacoronavirus lineage C; lineage c
betacoronavirus lineage C; merbeCoVirus
MERS-CoV;HCoV 2c England-Qatar
MERS-CoV; HCoV 2c Jordan N3
MERS-CoV; HCoV-Emc
MERS-CoV; HCoV-Emc/2012
MERS-CoV; MERS Associated coronavirus
MERS-CoV; MERS Virus
MERS-CoV; MERS coronavirus
MERS-CoV; MERS related coronavirus
MERS-CoV; MERS-Associated coronavirus
MERS-CoV; MERS-related coronavirus
MERS-CoV; Middle East respiratory syndrome associated coronavirus
MERS-CoV; Middle East respiratory syndrome coronavirus
MERS-CoV; Middle East respiratory syndrome related coronavirus
MERS-CoV; Middle East respiratory syndrome-associated coronavirus
MERS-CoV; Middle East respiratory syndrome-related coronavirus
MERS-CoV; Middle Eastern respiratory syndrome coronavirus
MERS-CoV; Middle-East respiratory syndrome coronavirus
MERS-CoV; human betacoronavirus 2c Erasmus medical center/2012
MERS-CoV; human coronavirus – Erasmus medical center
MERS-CoV; novel human betacoronavirus lineage c
gammacoronavirus;gammaCoV
gammacoronavirus; gammacoronaviruses
deltacoronavirus;delta CoV
deltacoronavirus; delta-CoV
deltacoronavirus; deltaCoV
deltacoronavirus; deltacoronaviruses
Orthomyxoviridae infection;orthomyxovirus infection
human flu;human influenza
Orthomyxoviridae;orthomyxovirus
Orthomyxoviridae; orthomyxoviruses
influenza virus;Myxovirus influenzae
influenza virus; influenzavirus
influenza A virus;influenza A
influenza A virus; influenza A viruses
influenza A virus; influenza type A
influenza A virus; influenzavirus A
influenza A virus; orthomyxovirus type A
influenza B virus;influenza B
influenza B virus; influenza type B
influenza B virus; influenzavirus B
influenza B virus; orthomyxovirus type B
Paramyxoviridae;paramyxovirus
Paramyxoviridae; paramyxoviruses
human parainfluenza virus type 1;hemadsorption virus 2
human parainfluenza virus type 1; human parainfluenza virus 1
human parainfluenza virus type 3;hemadsorption virus 1
human parainfluenza virus type 3; human parainfluenza virus 3
zoonotic disease;zoonosis
natural reservoir;animal source
natural reservoir; natural host
natural reservoir; primary source of infection
natural reservoir; virus origins
mammal;mammalian species
Reptilia;reptile
Aves;avian species
Aves; bird
Chiroptera;bat
Rhinolophus sinicus;Chinese horseshoe bat
Rhinolophus ferrumequinum;Rhinolophus ferrum-equinum
Rhinolophus ferrumequinum; greater horseshoe bat
intermediate host;intermediate carrier
intermediate host; intermediate reservoir host
Vicugna pacos;alpaca
Bovidae;bovid
Paguma larvata;civet cat
Paguma larvata; masked palm civets
Paguma larvata; palm civet
Camelus dromedarius;camel
Camelus dromedarius; dromedary camel
testudine;turtle
Melogale moschata;Chinese ferret-badger
Arctonyx collaris;hog-badger
Castor fiber;beaver
Felis catus;domestic cat
Muntiacus reevesi;Chinese muntjac
Lepus sinensis;Chinese hare
Serpentes;snake
Manidae;Malayan pangolin
Manidae; Manis javanica
Manidae; pangolin
Nyctereutes procyonoides;raccoon dog
infectious disease;communicable disease
emerging disease;emergent new infection
emerging disease; emerging communicable disease
emerging disease; emerging infection
emerging disease; emerging infectious disease
comorbidity;comorbidities
chronic disease;chronic illness
chronic disease; underlying and debilitating chronic condition
chronic disease; underlying basic disorder
chronic disease; underlying chronic condition
metabolic syndrome;Reaven syndrome x
metabolic syndrome; cardiovascular syndrome
metabolic syndrome; insulin resistance syndrome x
metabolic syndrome; metabolic cardiovascular syndrome
metabolic syndrome; metabolic syndrome X
metabolic syndrome; metabolic x syndrome
waist-hip ratio;waist/hip ratio
diabetes mellitus type 2;non-insulin-dependent diabetes
chronic respiratory insufficiency;chronic respiratory failure
malignancy;cancer
malignancy; malignant neoplasm
heart disease;cardiac disease
coronary heart disease;coronary disease
Guillain-Barré syndrome;Guillaine Barre syndrome
Guillain-Barré syndrome; Guillaine-Barre syndrome
Guillain-Barré syndrome; Landry Guillain-Barré syndrome
Guillain-Barré syndrome; Landry-Guillain-Barré syndrome
viral disease;viral infection
viral disease; virus disease
viral disease; virus infection
emerging viral infection;emerging viral disease
emerging viral infection; new viral infection
coronavirus disease 2019;2019 coronavirus disease
coronavirus disease 2019; 2019 novel coronavirus disease
coronavirus disease 2019; 2019 novel coronavirus infection
coronavirus disease 2019; 2019-nCoV ARD
coronavirus disease 2019; 2019-nCoV acute respiratory disease
coronavirus disease 2019; 2019-nCoV disease
coronavirus disease 2019; 2019-nCoV infection
coronavirus disease 2019; CoVid-19
coronavirus disease 2019; CoVid-19 pandemic
coronavirus disease 2019; CoVid-19 virus disease
coronavirus disease 2019; CoVid-19 virus infection
coronavirus disease 2019; CoVid19
coronavirus disease 2019; NCoV infection
coronavirus disease 2019; SARS-CoV-2 infection
coronavirus disease 2019; SARS-CoV-2 virus infection
coronavirus disease 2019; SARS-CoV2 infection
coronavirus disease 2019; corona virus disease
coronavirus disease 2019; coronavirus disease-19
coronavirus disease 2019; coronavirus-infected pneumonia
coronavirus disease 2019; novel coronavirus infections in Wuhan
coronavirus disease 2019; novel coronavirus pneumonia
coronavirus disease 2019; novel coronavirus-infected pneumonia
coronavirus disease 2019; novel-coronavirus disease-2019
Middle East respiratory syndrome;MERS
Middle East respiratory syndrome; Saudi SARS
Middle East respiratory syndrome; severe respiratory disease associated with Middle East
severe acute respiratory syndrome;2003 SARS
severe acute respiratory syndrome; SARS
severe acute respiratory syndrome; Urbani severe acute respiratory syndrome
severe acute respiratory syndrome; severe acute respiratory infection
severe acute respiratory syndrome; severe respiratory disease associated with a novel coronavirus
symptomatology;clinical characteristic
symptomatology; clinical data
symptomatology; clinical presentation
symptomatology; clinical spectrum
symptomatology; clinical symptom
first phase of the disease;first phase of the infection
dyspnea;breath shortness
dyspnea; breathlessness
dyspnea; shortness of breath
dry cough;non-productive cough
rhinitis;nasal catarrh
rhinitis; rhinitides
rhinitis; rhinorrhea
gastrointestinal manifestation;digestive manifestation
gastrointestinal manifestation; digestive symptom
gastrointestinal manifestation; gastrointestinal disorder
gastrointestinal manifestation; gastrointestinal feature
gastrointestinal manifestation; gastrointestinal symptom
diarrhoea;diarrhea
neurologic manifestation;neurologic sign
neurologic manifestation; neurologic symptom
neurologic manifestation; neurological manifestation
respiration manifestation;respiration disorder
respiration manifestation; respiratory sign
respiration manifestation; respiratory symptom
lung disease;lung pathology
lung disease; pulmonary disease
lower respiratory tract infection;lower respiratory infection
acute pneumonia;acute lung injury
severe pneumonia;severe respiratory illness
community acquired pneumonia;community-acquired pneumonia
upper respiratory tract infection;upper respiratory infection
uncontrolled immune-response;unbalanced immune response
systemic inflammatory response syndrome;sepsis syndrome
systemic inflammatory response syndrome; systemic hyperinflammatory response
imbalance of renin-angiotensin-aldosterone system;renin-angiotensin-aldosterone-system (RAAS) derangement
imbalance of renin-angiotensin-aldosterone system; renin-angiotensin-aldosterone-system derangement
Kawasaki disease;Kawasaki syndrome
Kawasaki disease; mucocutaneous lymph node syndrome
hypercoagulability;hypercoagulable state
immunothrombosis;thromboinflammation
disseminated intravascular coagulation;intravascular disseminated coagulation
haemophagocytic lymphohistiocytosis;haemophagocytic syndrome
haemophagocytic lymphohistiocytosis; macrophage activation syndrome
cytokine storm syndrome;cytokine release syndrome
cytokine storm syndrome; cytokine storm
cytokine storm syndrome; storm of pro-inflammatory cytokines
acute respiratory distress syndrome;adult respiratory distress syndrome
multiple organ failure;impairment in multi-organ function
multiple organ failure; multi-organ damage
multiple organ failure; multi-organ failure
multiple organ failure; multiorgan failure
multiple organ failure; multiple organ dysfunction syndrome
acute renal failure;acute kidney injury
heart failure;cardiac failure
heart failure; congestive cardiac failure
heart failure; congestive heart failure
resistin;adipocyte cysteine rich secreted protein FIZZ3
resistin; adipocyte cysteine-rich secreted protein FIZZ3
leptin;ob gene product
leptin; ob protein
leptin; obese gene product
leptin; obese protein
adiponectin;acrp30 protein
adiponectin; adipocyte complement related protein 30 kda
adiponectin; adipocyte complement-related protein 30-kda
adiponectin; adipose most abundant gene transcript 1
adiponectin; apm 1 protein
adiponectin; apm-1 protein
interleukin 1;IL-1
interleukin 2;IL-2
interleukin 4;IL-4
interleukin 6;IL-6
interleukin 7;IL-7
interleukin 8;IL-8
interleukin 10;IL-10
interleukin 17;IL-17
interleukin 18;IL-18
interferon alpha;IFN-?
interferon beta;IFN-?
interferon beta; interferon-beta
interferon omega;IFN-?
interferon gamma;IFN-?
tumor necrosis factor alpha;TNF-?
tumor necrosis factor alpha; cachectin
tumor necrosis factor alpha; cachexin
tumor necrosis factor alpha; tumor necrosis factor ?
tumor necrosis factor alpha; tumor necrosis factor-?
tumor necrosis factor alpha; tumour necrosis factor ?
cXc-chemokine;chemokine (cXc motif) ligand
chemokine (C-C motif) ligand 5;RANTES
chemokine (C-C motif) ligand 5; regulated on activation
chemokine (C-C motif) ligand 5; normal T cell expressed and secreted
high risk patient;individual at highest risk
high risk patient; patient most at risk
risk factor;determinant
sedentary lifestyle;physical inactivity
alcoholism;excessive alcohol intake
household;family environment
nursing home;French residential care for senior
nursing home; établissement d'hébergement pour personnes âgées dépendantes
healthcare center;health-care center
healthcare center; hospital
over the age of 60 years;> 60 years old
progression;course
progression; infection course
sequela;long-term morbidity
sequela; sequelae
psychological disorder;mental disorder
psychological disorder; mental illness
psychological disorder; psychopathology
chest computerized tomography;CT scans
chest computerized tomography; chest computed tomography
ground-glass opacities;ground-glass radiological changes
ground-glass opacities; ground-glass opacity
ground-glass opacities; ground-glass opaque structures
chest radiography;chest X ray
lung ultrasound;ultrasound assessment of lung
test;testing
antigen test;antigen detection test
antigen test; antigen diagnostic test
molecular assay;diagnostic test
molecular assay; diagnostic testing
molecular assay; molecular diagnostic
molecular assay; molecular diagnostic assay
molecular assay; molecular diagnostic method
molecular assay; molecular test
molecular assay; molecular-based laboratory test
molecular assay; nucleic acid test
molecular assay; nucleic acid testing
molecular assay; virological nucleic acid pcr tests
molecular assay; virological test
detecting viral RNA;detecting plasma viral RNA
reverse-transcription polymerase chain reaction;RT-PCR
reverse-transcription polymerase chain reaction; reverse transcription polymerase chain reaction
reverse-transcription polymerase chain reaction; reverse transcription-polymerase chain reaction
real-time polymerase chain reaction;qPCR
real-time polymerase chain reaction; quantitative polymerase chain reaction
real-time polymerase chain reaction; real time polymerase chain reaction
real-time polymerase chain reaction; real time quantitative RTPCR
real-time polymerase chain reaction; real-time RT-PCR
real-time polymerase chain reaction; real-time pcr assay
real-time polymerase chain reaction; real-time viral RNA test
DNA amplification;amplification of DNA
loop-mediated isothermal amplification;LAMP
loop-mediated isothermal amplification; LAMP loop-mediated isothermal amplification
loop-mediated isothermal amplification; LAMP technique
loop-mediated isothermal amplification; isothermal amplification loop-mediated
loop-mediated isothermal amplification; loop mediated isothermal amplification
loop-mediated isothermal amplification; loop-mediated isothermal amplification technique
reverse transcription loop-mediated isothermal amplification;RT-LAMP
nasopharyngeal swab;rhinopharyngeal swab
aspiration;aspirate
aspiration; suction
feces;faecal material
feces; faeces
feces; stool
serological testing;serological analysis
serological testing; serological assay
serological testing; serological test
serological testing; serological tool
serological testing; serology
ELISA test;ELISA
ELISA test; ELISA serological assay
ELISA test; enzyme linked immunosorbent assay
ELISA test; enzyme-linked immuno-sorbent assay
ELISA test; enzyme-linked immunosorbent assay
ELISA N assay;ELISA N
ELISA S assay;ELISA tri-S
ELISA S assay; ELISA trimeric S
LIPS assay;luciferase immunoprecipitation assay
pseudovirus-based neutralization assay;pseudovirus neutralization assay
rapid screening test;rapid detection test
biological diagnosis;biological diagnostic
biological diagnosis; laboratory data
protein marker;protein
hematological marker;blood marker
calprotectin;27e10 antigen
calprotectin; antigen l1
calprotectin; myelomonocytic
calprotectin; antigen
calprotectin; 27e10
calprotectin; antigen
calprotectin; l1
calprotectin; calcium binding myeloid protein p8
calprotectin;14
calprotectin; calcium-binding myeloid protein p8
calprotectin;14
calprotectin; calgranulin
calprotectin; l1 antigen
calprotectin; l1 protein
calprotectin; leukocyte
calprotectin; leukocyte l1 antigen complex
calprotectin; leukocyte l1 protein
calprotectin; migratory inhibitory factor related protein mrp
calprotectin; migratory inhibitory factor-related protein mrp
calprotectin; myelomonocytic antigen l1
viremia;viral load
lymphopaenia;lymphocytopenia
thrombocytopenia;thrombopenia
prothrombin time;INR
prothrombin time; PT/INR
prothrombin time; prothrombin ratio
neutrophil–lymphocyte ratio;neutrophil/lymphocyte
monocyte–lymphocyte ratio;monocyte/lymphocyte
C reactive protein;C-reactive protein
C reactive protein; RCP
erythrocyte sedimentation rate;sed rate
granulocyte-lymphocyte ratio;granulocyte-lymphocyte
D-dimer;D dimer
alanine aminotransferase;ALT
aspartate aminotransferase;AST
virus-host interaction;host-pathogen interaction
virus-host interaction; virus host cell interaction
virus-host interaction; virus-host interplay
pyroptosis;caspase 1 dependent cell death
pyroptosis; caspase-1 dependent cell death
pyroptosis; inflammatory apoptoses
pyroptosis; inflammatory apoptosis
pyroptosis; pyroptoses
pyroptosis; pyroptotic cell death
pyroptosis; pyroptotic cell deaths
JAK-STAT;janus kinases-signal transducer and activator of transcription proteins
angiotensin I;proangiotensin
angiotensin II;ang-(1-8)octapeptide
angiotensin II; angiotensin 1-8, angiotensin-(1-8) octapeptide
viral tropism;viral cellular tropism
host cell;target cell
pneumocyte;alveolar cell
type II pneumocyte;type II alveolar cell
enterocyte;intestinal absorptive cell
viral life cycle;infection cycle
binding;viral binding
viral entry;cell entry
pathogenicity;infectivity
pathogenicity; virulence
transcriptome;RNA transcripts
ribosomal frameshifting;translational frameshifting
ribosomal frameshifting; translational recoding
mRNA;messenger RNA
cell type;cellular type
cell type; cellular-type
IFITM protein;interferon (IFN)-inducible transmembrane (IFITM) protein
IFITM protein; interferon-induced transmembrane protein
IFITM protein; interferon-inducible transmembrane (IFITM) protein
IFITM protein; interferon-inducible transmembrane protein
IFITM3 protein;interferon (IFN)-inducible transmembrane (IFITM) protein 3
IFITM3 protein; interferon-induced transmembrane protein 3
IFITM3 protein; interferon-inducible transmembrane (IFITM) protein 3
IFITM3 protein; interferon-inducible transmembrane protein 3
major histocompatibility complex class I;MHC class I
major histocompatibility complex class I; major histocompatibility complex (MHC) class I
prohibitin 1;PHB1
prohibitin 2;PHB2
sialic acid;N-acetylneuraminic acid
sialic acid; Neu5Ac
basigin;CD147
basigin; EMMPRIN
basigin; cluster of differentiation 147
basigin; extracellular matrix metalloproteinase inducer
protein 3a;ORF3a protein
protein 3a; protein U274
protein 3a; protein X1
protein 3b;ORF3b protein
protein 6;ORF6 protein
protein 7a;ORF7a protein
protein 7b;ORF7b protein
protein 8a;ORF8a protein
protein 8a; viroporin 8a protein
protein 8b;ORF8b protein
protein 9b;ORF9b protein
protein 10;ORF10 protein
receptor binding domain;RBD
S1 subunit;S1 domain
subunit vaccine;protein subunit vaccine
subunit vaccine; protein sub-unit vaccine
subunit vaccine; sub-unit vaccine
vaccine immunogenicity;vaccine-induced immune response
M protein;matrix protein
M protein; membrane (M) glycoprotein
M protein; membrane (M) protein
M protein; membrane protein
E protein;enveloppe (E) protein
E protein; enveloppe protein
E protein; small envelope protein
N protein;nucleocapsid peptide
N protein; nucleocapsid phosphoprotein
N protein; nucleocapsid protein
N protein; nucleoprotein
HE protein;haemagglutinin-esterase
HE protein; hemagglutinin-esterase
polyprotein 1a;pp1a
polyprotein 1ab;1 ab polyprotein
polyprotein 1ab; pp1ab
non-structural protein;nonstructural protein
non-structural protein; nsp
non-structural protein 1;host translation inhibitor nsp1
non-structural protein 1; leader protein
non-structural protein 1; nsp1
non-structural protein 2;nsp2
non-structural protein 3;nsp3
non-structural protein 3; papain like proteinase
non-structural protein 3; papain-like protease
non-structural protein 3; plpro
non-structural protein 4;nsp4
non-structural protein 5;3C-like protease
non-structural protein 5; 3C-like proteinase
non-structural protein 5; 3CL protease
non-structural protein 5; 3CLpro
non-structural protein 5; C30 Endopeptidase
non-structural protein 5; nsp5
non-structural protein 5; protease 3CLpro
non-structural protein 5; proteinase 3CL-pRO
non-structural protein 6;nsp6
non-structural protein 7;nsp7
non-structural protein 8;nsp8
non-structural protein 9;nsp9
non-structural protein 10;nsp10
non-structural protein 11;nsp11
non-structural protein 12;RNA dependent RNA polymerase
non-structural protein 12; RNA directed RNA polymerase
non-structural protein 12; RNA-dependent RNA polymerase
non-structural protein 12; RNA-directed RNA polymerase
non-structural protein 12; RdRp
non-structural protein 12; nsp12
non-structural protein 13;NTPase/helicase
non-structural protein 13; nsp13
non-structural protein 14;3'-to-5' exonuclease
non-structural protein 14; 3? to 5? endonuclease
non-structural protein 14; N7-methyltransferase
non-structural protein 14; nsp14-ExoN
non-structural protein 15;endoRNAse
non-structural protein 15; endoribonuclease
non-structural protein 15; nsp15
non-structural protein 16;2?-O-Mtase
non-structural protein 16; 2?-O-ribose-methyltransferase
non-structural protein 16; nsp16
angiotensin converting enzyme 2;ACE2
angiotensin converting enzyme 2; angiotensin converting enzyme-2
angiotensin converting enzyme 2; angiotensin-converting enzyme 2
angiotensin converting enzyme 1;angiotensin-converting enzyme1
type II transmembrane serine protease;TMpRSS2 protease
type II transmembrane serine protease; membrane-anchored serine protease
type II transmembrane serine protease; TMpRSS2
type II transmembrane serine protease; membrane-bound serine protease TMPRSS2
type II transmembrane serine protease; serine protease
type II transmembrane serine protease; serine protease TMpRSS2
type II transmembrane serine protease; transmembrane protease serine 2
type II transmembrane serine protease; transmembrane serine protease 2
type II transmembrane serine protease; transmembrane serine protease TMpRSS2
catB/L activity;cathepsinB/L activity
Janus kinase;just another kinase
Janus kinase 1;JAK1
Janus kinase 2;JAK2
Janus kinase 3;JAK3
tyrosine kinase 2;TYK2
tyrosine kinase 2; non receptor tyrosine protein kinase tyk2
adaptor-associated protein kinase 1;AAK1
adaptor-associated protein kinase 1; AP2-associated protein kinase 1
cellular receptor;cell-surface receptor
cellular receptor; host receptor
DNA vaccine;DNA vaccination
DNA vaccine; DNA-based COVID-19 vaccine
DNA vaccine; DNA-based vaccine candidate
DNA;deoxyribonucleic acid
DNA; synthetic DNA medicine platform
non-replicant viral vector;non-replicating virus
replicant viral vector;replicating virus
ChAdOx1 nCoV-19;AZD1222 (ChAdOx1 nCoV-19)
ChAdOx1 nCoV-19; AstraZeneca Oxford AZD1222
ChAdOx1 nCoV-19; ChAdOxnCoV-19
aminopeptidase N;ApN
aminopeptidase N; alanine aminopeptidase
aminopeptidase N; alanyl aminopeptidase
aminopeptidase N; cd13 antigen
aminopeptidase N; membrane alanyl aminopeptidase
N-acetyl-9-O-acetyl neuraminic acid;9-O-acetylated sialic acid
N-acetyl-9-O-acetyl neuraminic acid; NEU 5
N-acetyl-9-O-acetyl neuraminic acid;9 AC2
dipeptidyl peptidase 4;Dpp4
dipeptidyl peptidase 4; adenosine deaminase complexing protein 2
intensive care unit;ICU
intensive care unit; critical care unit
intensive care unit; intensive care
intensive care unit; intensive therapy unit
intensive care unit; intensive treatment unit
support treatment;supportive measure
support treatment; supportive treatment
plan-do-check-act cycle;Deming wheel
CoronaVac;PiCoVacc®
CoronaVac; CoronaVac®
CoronaVac; coronavac
NVX-CoV2373;Full length recombinant SARS CoV-2 gly-coprotein nanoparticle vaccine
NVX-CoV2373; SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine
neutralizing antibody;neutralizing antibodies
artificial respiration;ventilation therapy
positive pressure ventilation;positive pressure respiration
positive pressure ventilation; positive-pressure respirations
positive pressure ventilation; positive-pressure ventilation
continuous positive airway pressure;cpap ventilation
invasive ventilation;invasive mechanical ventilation
invasive ventilation; mechanical ventilation via endotracheal tube
non-invasive ventilation;non invasive ventilation
non-invasive ventilation; noninvasive ventilation
extracorporeal membrane oxygenation;ECLS treatment
extracorporeal membrane oxygenation; ECMO
extracorporeal membrane oxygenation; ECMO treatment
extracorporeal membrane oxygenation; extracorporeal life support
intubation;endotracheal tube
dialysis;kidney replacement therapy
prevention;prophylactic measure
prevention; prophylaxy
prevention; protective measure
primary prevention;primary disease prevention
secondary prevention;secondary disease prevention
hand washing;hand-washing
hand washing; handwashing
alcohol gel;alcohol-based hand rub
alcohol gel; hand sanitizer
FFP-mask;FFP mask
FFP-mask; filtering facepiece (FFP) mask
FFP-mask; filtering facepiece mask
FFP2-mask;FFP2 mask
FFP2-mask; class 2 filtering facepiece (FFP) mask
FFP2-mask; class 2 filtering facepiece mask
FFP3-mask;FFP3 mask
FFP3-mask; class 3 filtering facepiece (FFP) mask
alternative mask;general public mask
personal protective equipment;personal protective measure
physical distancing;sanitary distancing
physical distancing; social distancing
travel restriction;controlled travel
confinement;community containment
confinement; lockdown
clinical trial;clinical assay
clinical trial; clinical study
randomized controlled trial;randomized control trial
marketing authorization;authorisation for the placing on the market
marketing authorization; market authorisation
technology platform;vaccine development platform
technology platform; vaccine platform
European vaccine strategy;EU vaccine strategy
adenovirus;adenoviruses
recombinant protein;recombinant antigenic protein
vaccine candidate;candidate vaccine
live attenuated vaccine;limited living vaccine
BCG vaccine;Bacillus Calmette–Guérin (BCG) vaccine
BCG vaccine; Bacillus Calmette–Guérin vaccine
inactivated vaccine;killed vaccine
inactivated vaccine; sluggish vaccine
RNA vaccine;RNA vaccination
viral vaccine vector;viral vector vaccine
viral vaccine vector; viral vectored vaccine
Ad5-nCoV;Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)
pathogen-specific aAPC;Covid-19 Coronavirus Artificial Antigen Presenting Cell Vaccine
pathogen-specific aAPC; artificial antigen -Pathogen-specific vaccine
pathogen-specific aAPC; pathogen-specific artificial antigen-presenting cell
epidemiological monitoring;epidemiologic monitoring
socioeconomic status;social status
socioeconomic status; social class
epidemiologic study;epidemiologic studies
epidemiologic study; epidemiological studies
epidemiologic study; epidemiological study
public health;community health
pandemic;worldwide outbreak
European continent;Europe
country of the Asian continent;Asian countries
country of the Asian continent; Asian country
country of the Asian continent; countries of Asia
country of the Asian continent; countries of the Asian continent
country of the Asian continent; country of Asia
Asian continent;Asia
American continent;America
African continent;Africa
Russia;Russian Federation
South American subcontinent;south America
National Research Agency;National Agency for Research
3 LNP-mRNAs;BNT162b2
Chinese pharmaceutical laboratory;Chinese pharmaceutical company
Chinese pharmaceutical laboratory; Chinese pharmaceutical factory
Chinese pharmaceutical laboratory; Chinese pharmaceutical firm
